sale,date,item,quantity,total
112,Wednesday 10th of May 2000,Office Star - Ergonomically Designed Knee Chair,8,647.84
112,Wednesday 10th of May 2000,Newell 343,10,29.4
113,Monday 15th of May 2000,Sanford Colorific Colored Pencils  12/Box,8,23.04
113,Monday 15th of May 2000,GBC DocuBind 300 Electric Binding Machine,9,1420.11
113,Monday 15th of May 2000,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,9,3964.41
114,Friday 26th of March 2004,American Pencil,6,13.98
114,Friday 26th of March 2004,Advantus Push Pins,5,10.9
115,Tuesday 12th of December 2000,Xerox 1883,2,52.76
115,Tuesday 12th of December 2000,Sony 32GB Class 10 Micro SDHC R40 Memory Card,3,62.85
115,Tuesday 12th of December 2000,File Shuttle II and Handi-File  Black,3,81.33
116,Saturday 3rd of May 2003,Global Geo Office Task Chair  Gray,5,323.9
117,Wednesday 18th of June 2003,Binney & Smith Crayola Metallic Colored Pencils  8-Color Set,9,33.3
117,Wednesday 18th of June 2003,Sony 64GB Class 10 Micro SDHC R40 Memory Card,2,57.58
117,Wednesday 18th of June 2003,Sabrent 4-Port USB 2.0 Hub,1,6.79
117,Wednesday 18th of June 2003,Padded Folding Chairs  Black  4/Carton,7,396.83
117,Wednesday 18th of June 2003,Vinyl Coated Wire Paper Clips in Organizer Box  800/Box,2,18.36
118,Thursday 4th of December 2003,Atlantic Metals Mobile 4-Shelf Bookcases  Custom Colors,9,2023.02
118,Thursday 4th of December 2003,1.7 Cubic Foot Compact Cube Office Refrigerators,2,416.32
119,Sunday 29th of February 2004,Sauder Barrister Bookcases,2,129.56
119,Sunday 29th of February 2004,Wilson Jones  Snap  Scratch Pad Binder Tool for Ring Binders,2,11.6
120,Saturday 18th of October 2003,Vinyl Coated Wire Paper Clips in Organizer Box  800/Box,3,27.54
121,Sunday 7th of January 2001,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,2,6.06
121,Sunday 7th of January 2001,Xerox 1987,7,40.46
122,Sunday 4th of July 2004,Regeneration Desk Collection,8,14.08
123,Saturday 5th of October 2002,Logitech M510 Wireless Mouse,2,63.98
124,Saturday 31st of August 2002,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,6,95.82
124,Saturday 31st of August 2002,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,7,307.86
124,Saturday 31st of August 2002,Globe Weis Peel & Seel First Class Envelopes,8,102.24
124,Saturday 31st of August 2002,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,1,9.26
124,Saturday 31st of August 2002,Southworth Structures Collection,5,36.4
125,Wednesday 18th of July 2001,Sanford Colorific Eraseable Coloring Pencils  12 Count,2,6.56
125,Wednesday 18th of July 2001,GBC Twin Loop Wire Binding Elements  9/16 Spine  Black,5,15.2
125,Wednesday 18th of July 2001,Recycled Interoffice Envelopes with String and Button Closure  10 x 13,4,76.76
125,Wednesday 18th of July 2001,Wilson Jones Active Use Binders,3,17.46
126,Wednesday 11th of August 2004,Personal Filing Tote with Lid  Black/Gray,6,74.46
127,Saturday 22nd of May 2004,Acme 10 Easy Grip Assistive Scissors,6,105.18
127,Saturday 22nd of May 2004,Xerox 1916,5,195.75
127,Saturday 22nd of May 2004,Recycled Desk Saver Line While You Were Out Book  5 1/2 X 4,7,62.65
128,Saturday 15th of June 2002,Xerox 1943,9,440.19
128,Saturday 15th of June 2002,Global Ergonomic Managers Chair,1,162.88
128,Saturday 15th of June 2002,AT&T 1070 Corded Phone,8,713.52
128,Saturday 15th of June 2002,Self-Adhesive Address Labels for Typewriters by Universal,3,21.93
128,Saturday 15th of June 2002,Adams Phone Message Book  Professional  400 Message Capacity  5 3/6  x 11 ,1,6.98
129,Thursday 5th of February 2004,SAFCO Arco Folding Chair,7,1353.38
129,Thursday 5th of February 2004,Newell 311,7,15.47
130,Friday 14th of December 2001,3M Office Air Cleaner,10,259.8
130,Friday 14th of December 2001,4009 Highlighters by Sanford,6,23.88
131,Saturday 2nd of October 2004,Panasonic Kx-TS550,5,183.95
131,Saturday 2nd of October 2004,Microsoft Sculpt Comfort Mouse,5,199.75
131,Saturday 2nd of October 2004,Hon 5100 Series Wood Tables,2,465.56
132,Wednesday 17th of January 2001,While You Were Out Pads  50 per Pad  4 x 5 1/4  Green Cycle,3,11.34
133,Tuesday 11th of November 2003,Advantus Push Pins  Aluminum Head,4,23.24
133,Tuesday 11th of November 2003,Binney & Smith Crayola Metallic Colored Pencils  8-Color Set,2,7.4
134,Friday 18th of June 2004,Acme Rosewood Handle Letter Opener,4,12.72
134,Friday 18th of June 2004,Logitech Mobile Speakerphone P710e - speaker phone,7,755.86
135,Tuesday 10th of August 2004,Staples,1,2.38
135,Tuesday 10th of August 2004,Avery 519,2,14.62
135,Tuesday 10th of August 2004,Cisco Small Business SPA 502G VoIP phone,9,738.54
136,Tuesday 7th of September 2004,Southworth 25% Cotton Antique Laid Paper & Envelopes,7,58.38
136,Tuesday 7th of September 2004,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,8,1419.76
136,Tuesday 7th of September 2004,Magnifier Swing Arm Lamp,9,188.82
136,Tuesday 7th of September 2004,Executive Impressions 14 Two-Color Numerals Wall Clock,5,90.9
136,Tuesday 7th of September 2004,Bose SoundLink Bluetooth Speaker,4,636.8
137,Saturday 15th of March 2003,Nortel Meridian M3904 Professional Digital phone,6,739.14
137,Saturday 15th of March 2003,Cisco Small Business SPA 502G VoIP phone,1,82.06
137,Saturday 15th of March 2003,Atlantic Metals Mobile 4-Shelf Bookcases  Custom Colors,1,224.78
137,Saturday 15th of March 2003,Chromcraft Rectangular Conference Tables,8,1516.64
137,Saturday 15th of March 2003,3M Office Air Cleaner,9,233.82
138,Saturday 1st of November 2003,Avery 511,6,18.48
138,Saturday 1st of November 2003,Quartet Omega Colored Chalk  12/Pack,6,28.02
139,Saturday 2nd of February 2002,Memorex Micro Travel Drive 8 GB,2,20.8
139,Saturday 2nd of February 2002,Global Push Button Managers Chair  Indigo,5,243.55
139,Saturday 2nd of February 2002,Global Fabric Managers Chair  Dark Gray,1,70.69
139,Saturday 2nd of February 2002,BIC Brite Liner Highlighters,9,29.79
140,Thursday 18th of December 2003,Avery Address/Shipping Labels for Typewriters  4 x 2,2,20.7
141,Wednesday 12th of May 2004,Prang Dustless Chalk Sticks,9,15.12
141,Wednesday 12th of May 2004,Honeywell Enviracaire Portable HEPA Air Cleaner for 17 x 22 Room,3,901.95
141,Wednesday 12th of May 2004,Xerox 223,9,58.32
141,Wednesday 12th of May 2004,Lumber Crayons,10,78.8
142,Monday 13th of December 2004,Staple remover,8,29.44
142,Monday 13th of December 2004,Stanley Bostitch Contemporary Electric Pencil Sharpeners,8,108.64
142,Monday 13th of December 2004,Sony 64GB Class 10 Micro SDHC R40 Memory Card,4,115.16
142,Monday 13th of December 2004,Westinghouse Mesh Shade Clip-On Gooseneck Lamp  Black,9,127.26
143,Thursday 5th of February 2004,Vinyl Coated Wire Paper Clips in Organizer Box  800/Box,7,64.26
144,Thursday 7th of September 2000,Prang Dustless Chalk Sticks,4,6.72
144,Thursday 7th of September 2000,Office Star - Ergonomically Designed Knee Chair,1,80.98
145,Saturday 24th of July 2004,Bush Westfield Collection Bookcases  Medium Cherry Finish,10,289.9
145,Saturday 24th of July 2004,Newell 350,4,13.12
145,Saturday 24th of July 2004,Holmes Odor Grabber,8,23.04
146,Friday 13th of September 2002,Eaton Premium Continuous-Feed Paper  25% Cotton  Letter Size  White  1000 Shts/Box,2,110.96
146,Friday 13th of September 2002,Xerox 1939,6,113.82
147,Tuesday 16th of December 2003,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,3,89.97
147,Tuesday 16th of December 2003,Fellowes Bankers Box Recycled Super Stor/Drawer,3,161.94
147,Tuesday 16th of December 2003,DXL Angle-View Binders with Locking Rings by Samsill,4,24.68
148,Wednesday 17th of December 2003,Fellowes Officeware Wire Shelving,7,628.81
148,Wednesday 17th of December 2003,Xerox 1921,8,63.92
148,Wednesday 17th of December 2003,Binney & Smith Crayola Metallic Colored Pencils  8-Color Set,2,7.4
149,Tuesday 27th of August 2002,OIC Colored Binder Clips  Assorted Sizes,10,28.6
149,Tuesday 27th of August 2002,Logitech Mobile Speakerphone P710e - speaker phone,1,107.98
149,Tuesday 27th of August 2002,Trav-L-File Heavy-Duty Shuttle II  Black,4,139.44
149,Tuesday 27th of August 2002,Global Leather Highback Executive Chair with Pneumatic Height Adjustment  Black,4,643.12
150,Thursday 16th of August 2001,Newell 350,4,13.12
150,Thursday 16th of August 2001,Storex Dura Pro Binders,8,38
150,Thursday 16th of August 2001,Eaton Premium Continuous-Feed Paper  25% Cotton  Letter Size  White  1000 Shts/Box,10,554.8
151,Thursday 12th of September 2002,Seth Thomas 13 1/2 Wall Clock,9,160.02
151,Thursday 12th of September 2002,Xerox 1958,6,38.88
151,Thursday 12th of September 2002,GE General Purpose  Extra Long Life  Showcase & Floodlight Incandescent Bulbs,9,26.19
151,Thursday 12th of September 2002,Logitech P710e Mobile Speakerphone,10,2059.9
151,Thursday 12th of September 2002,GE 30524EE4,8,1254.32
152,Wednesday 4th of June 2003,BIC Brite Liner Highlighters  Chisel Tip,7,45.36
153,Monday 20th of December 2004,Novimex Turbo Task Chair,1,63.88
153,Monday 20th of December 2004,Global Deluxe Office Fabric Chairs,5,383.9
154,Tuesday 27th of April 2004,Easy-staple paper,9,88.38
154,Tuesday 27th of April 2004,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,7,48.86
154,Tuesday 27th of April 2004,Xerox 223,2,12.96
155,Saturday 1st of June 2002,American Pencil,3,6.99
155,Saturday 1st of June 2002,Eldon 200 Class Desk Accessories  Burgundy,6,30.12
155,Saturday 1st of June 2002,4009 Highlighters by Sanford,4,15.92
155,Saturday 1st of June 2002,GBC ProClick 150 Presentation Binding System,1,94.79
155,Saturday 1st of June 2002,Xerox 1897,9,35.82
156,Thursday 27th of February 2003,Woodgrain Magazine Files by Perma,7,16.66
156,Thursday 27th of February 2003,Turquoise Lead Holder with Pocket Clip,3,20.1
156,Thursday 27th of February 2003,Binney & Smith Crayola Metallic Colored Pencils  8-Color Set,8,29.6
157,Friday 5th of January 2001,Atlantic Metals Mobile 4-Shelf Bookcases  Custom Colors,4,899.12
157,Friday 5th of January 2001,Global Low Back Tilter Chair,6,484.68
157,Friday 5th of January 2001,Avery 489,6,49.68
158,Saturday 5th of August 2000,Crayola Colored Pencils,8,20.96
158,Saturday 5th of August 2000,Home/Office Personal File Carts,8,278.08
158,Saturday 5th of August 2000,Avaya 5420 Digital phone,8,1079.92
158,Saturday 5th of August 2000,6 Cubicle Wall Clock  Black,4,12.96
158,Saturday 5th of August 2000,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,10,97.2
159,Monday 12th of November 2001,Global Deluxe Steno Chair,3,207.84
159,Monday 12th of November 2001,Wirebound Service Call Books  5 1/2 x 4,10,96.8
159,Monday 12th of November 2001,Global Deluxe Stacking Chair  Gray,1,35.69
159,Monday 12th of November 2001,Safco Industrial Shelving,2,147.7
159,Monday 12th of November 2001,Telephone Message Books with Fax/Mobile Section  5 1/2 x 3 3/16,7,44.45
160,Wednesday 17th of April 2002,Sortfiler Multipurpose Personal File Organizer  Black,6,128.34
161,Friday 23rd of July 2004,Hon Multipurpose Stacking Arm Chairs,4,866.4
162,Tuesday 17th of September 2002,Xerox 1999,5,32.4
163,Wednesday 23rd of May 2001,Newell 311,5,11.05
163,Wednesday 23rd of May 2001,Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters  4/Pack,6,39.06
163,Wednesday 23rd of May 2001,Howard Miller 13 Diameter Goldtone Round Wall Clock,3,112.65
163,Wednesday 23rd of May 2001,Recycled Desk Saver Line While You Were Out Book  5 1/2 X 4,7,62.65
163,Wednesday 23rd of May 2001,Poly String Tie Envelopes,10,16.3
164,Wednesday 27th of September 2000,Xerox 1897,3,11.94
164,Wednesday 27th of September 2000,Plantronics HL10 Handset Lifter,6,556.74
165,Monday 9th of July 2001,Avery Hidden Tab Dividers for Binding Systems,7,4.2
165,Monday 9th of July 2001,Avery Recycled Flexi-View Covers for Binding Systems,3,14.43
165,Monday 9th of July 2001,Eldon Fold N Roll Cart System,9,100.62
166,Friday 5th of October 2001,Eldon Fold N Roll Cart System,4,44.72
166,Friday 5th of October 2001,Turquoise Lead Holder with Pocket Clip,2,13.4
166,Friday 5th of October 2001,Deluxe Rollaway Locking File with Drawer,2,665.4
166,Friday 5th of October 2001,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),6,31.68
167,Friday 24th of May 2002,Xerox 1995,7,45.36
167,Friday 24th of May 2002,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,4,933.52
167,Friday 24th of May 2002,Xerox 223,7,45.36
167,Friday 24th of May 2002,Wirebound Message Book  4 per Page,5,27.15
167,Friday 24th of May 2002,GBC Instant Index System for Binding Systems,9,23.94
168,Saturday 12th of October 2002,Safco Commercial Shelving,8,297.68
168,Saturday 12th of October 2002,Mitel 5320 IP Phone VoIP phone,6,907.14
168,Saturday 12th of October 2002,Hunt PowerHouse Electric Pencil Sharpener  Blue,5,189.9
169,Wednesday 8th of December 2004,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,7,334.67
169,Wednesday 8th of December 2004,Trimflex Flexible Post Binders,1,17.1
169,Wednesday 8th of December 2004,Eldon Base for stackable storage shelf  platinum,10,389.4
170,Thursday 30th of March 2000,Avery 509,10,20.9
171,Thursday 8th of August 2002,Self-Adhesive Removable Labels,7,22.05
171,Thursday 8th of August 2002,Array Parchment Paper  Assorted Colors,8,58.24
171,Thursday 8th of August 2002,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,1,41.4
171,Thursday 8th of August 2002,Fellowes Bankers Box Recycled Super Stor/Drawer,7,377.86
172,Tuesday 12th of November 2002,Chromcraft Rectangular Conference Tables,9,1706.22
172,Tuesday 12th of November 2002,Newell 314,8,35.68
172,Tuesday 12th of November 2002,Bush Advantage Collection Round Conference Table,7,818.51
173,Wednesday 26th of September 2001,4009 Highlighters by Sanford,6,23.88
173,Wednesday 26th of September 2001,Xerox 1881,1,12.28
173,Wednesday 26th of September 2001,Logitech Gaming G510s - Keyboard,1,67.99
173,Wednesday 26th of September 2001,Safco Industrial Shelving,2,147.7
174,Saturday 20th of May 2000,Self-Adhesive Removable Labels,4,12.6
175,Saturday 1st of February 2003,Wirebound Message Books  Two 4 1/4 x 5 Forms per Page,8,60.88
176,Sunday 13th of April 2003,Tenex File Box  Personal Filing Tote with Lid  Black,8,99.28
176,Sunday 13th of April 2003,Acme Rosewood Handle Letter Opener,10,31.8
177,Sunday 12th of August 2001,Hewlett Packard LaserJet 3310 Copier,5,2399.95
177,Sunday 12th of August 2001,Design Ebony Sketching Pencil,6,6.66
178,Thursday 16th of May 2002,Sortfiler Multipurpose Personal File Organizer  Black,7,149.73
179,Tuesday 28th of September 2004,SAFCO Boltless Steel Shelving,8,909.12
179,Tuesday 28th of September 2004,Ideal Clamps,3,6.03
179,Tuesday 28th of September 2004,Logitech G602 Wireless Gaming Mouse,9,719.91
180,Friday 25th of April 2003,Avery 489,10,82.8
180,Friday 25th of April 2003,Avery Durable Plastic 1 Binders,9,40.86
181,Thursday 7th of December 2000,iHome FM Clock Radio with Lightning Dock,8,447.92
182,Monday 17th of September 2001,Gould Plastics 18-Pocket Panel Bin  34w x 5-1/4d x 20-1/2h,6,551.94
183,Tuesday 23rd of September 2003,Logitech M510 Wireless Mouse,9,287.91
184,Monday 3rd of December 2001,Novimex Swivel Fabric Task Chair,4,603.92
184,Monday 3rd of December 2001,Jabra BIZ 2300 Duo QD Duo Corded Headset,9,914.31
184,Monday 3rd of December 2001,Newell 333,1,2.78
184,Monday 3rd of December 2001,Longer-Life Soft White Bulbs,3,9.24
184,Monday 3rd of December 2001,Xerox 1957,4,20.72
185,Tuesday 12th of February 2002,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,5,43.9
185,Tuesday 12th of February 2002,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,9,269.91
185,Tuesday 12th of February 2002,Global Deluxe High-Back Managers Chair,10,2001.9
185,Tuesday 12th of February 2002,Square Credit Card Reader,9,71.91
185,Tuesday 12th of February 2002,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,3,238.56
186,Friday 19th of December 2003,Globe Weis Peel & Seel First Class Envelopes,2,25.56
187,Wednesday 30th of May 2001,Lumber Crayons,9,70.92
188,Wednesday 9th of August 2000,Artistic Insta-Plaque,5,78.4
188,Wednesday 9th of August 2000,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,7,307.86
188,Wednesday 9th of August 2000,Advantus SlideClip Paper Clips,8,21.84
189,Friday 14th of December 2001,Staple-based wall hangings,2,7.8
189,Friday 14th of December 2001,Bose SoundLink Bluetooth Speaker,8,1273.6
189,Friday 14th of December 2001,Sanford Uni-Blazer View Highlighters  Chisel Tip  Yellow,1,2.2
189,Friday 14th of December 2001,Tuf-Vin Binders,2,50.52
189,Friday 14th of December 2001,Avery Poly Binder Pockets,4,14.32
190,Sunday 18th of November 2001,Bulldog Vacuum Base Pencil Sharpener,3,35.97
190,Sunday 18th of November 2001,Newell 318,9,25.02
190,Sunday 18th of November 2001,Tenex File Box  Personal Filing Tote with Lid  Black,1,12.41
190,Sunday 18th of November 2001,Redi-Strip #10 Envelopes  4 1/8 x 9 1/2,1,2.36
191,Monday 14th of June 2004,Staple-based wall hangings,4,15.6
192,Sunday 10th of October 2004,Deflect-o SuperTray Unbreakable Stackable Tray  Letter  Black,4,116.72
192,Sunday 10th of October 2004,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,3,11.34
192,Sunday 10th of October 2004,Storex Dura Pro Binders,2,9.5
193,Monday 8th of April 2002,Xerox 1943,10,489.1
193,Monday 8th of April 2002,Microsoft Arc Touch Mouse,5,239.8
193,Monday 8th of April 2002,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,6,157.32
193,Monday 8th of April 2002,Lexmark MX611dhe Monochrome Laser Printer,1,1019.99
194,Tuesday 10th of October 2000,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,5,110.5
194,Tuesday 10th of October 2000,Eldon Simplefile Box Office,9,89.55
195,Wednesday 22nd of November 2000,Xerox 1883,8,211.04
195,Wednesday 22nd of November 2000,Bretford CR4500 Series Slim Rectangular Table,10,1915.2
195,Wednesday 22nd of November 2000,Westinghouse Mesh Shade Clip-On Gooseneck Lamp  Black,8,113.12
195,Wednesday 22nd of November 2000,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,3,747.57
195,Wednesday 22nd of November 2000,Safco Industrial Wire Shelving,4,307.16
196,Monday 4th of November 2002,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,8,77.76
197,Friday 18th of April 2003,Fellowes Bankers Box Recycled Super Stor/Drawer,6,323.88
197,Friday 18th of April 2003,OIC Bulk Pack Metal Binder Clips,7,19.53
198,Monday 12th of July 2004,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,8,255.92
198,Monday 12th of July 2004,Xerox WorkCentre 6505DN Laser Multifunction Printer,1,359.99
198,Monday 12th of July 2004,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,4,360
198,Monday 12th of July 2004,Staple envelope,6,26.76
199,Friday 11th of April 2003,While You Were Out Pads  50 per Pad  4 x 5 1/4  Green Cycle,1,3.78
199,Friday 11th of April 2003,Wilson Jones Leather-Like Binders with DublLock Round Rings,8,69.84
200,Saturday 19th of August 2000,Recycled Desk Saver Line While You Were Out Book  5 1/2 X 4,7,62.65
200,Saturday 19th of August 2000,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,5,118.25
201,Monday 11th of November 2002,Jabra BIZ 2300 Duo QD Duo Corded Headset,3,304.77
201,Monday 11th of November 2002,Eldon Expressions Desk Accessory  Wood Pencil Holder  Oak,4,15.44
202,Thursday 17th of February 2000,Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection,10,243.2
202,Thursday 17th of February 2000,Fellowes Bankers Box Recycled Super Stor/Drawer,9,485.82
203,Monday 24th of June 2002,Eldon 100 Class Desk Accessories,6,8.1
203,Monday 24th of June 2002,Xerox 1920,1,5.98
203,Monday 24th of June 2002,6 Cubicle Wall Clock  Black,1,3.24
204,Wednesday 24th of September 2003,Decoflex Hanging Personal Folder File,3,46.26
205,Tuesday 24th of February 2004,AT&T CL83451 4-Handset Telephone,6,1235.94
205,Tuesday 24th of February 2004,Global Low Back Tilter Chair,7,565.46
206,Thursday 20th of September 2001,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,4,94.6
206,Thursday 20th of September 2001,Memorex Micro Travel Drive 8 GB,7,72.8
206,Thursday 20th of September 2001,Seth Thomas 13 1/2 Wall Clock,10,177.8
206,Thursday 20th of September 2001,Convenience Packs of Business Envelopes,5,18.1
207,Wednesday 5th of July 2000,Bush Advantage Collection Racetrack Conference Table,8,1696.88
208,Thursday 7th of March 2002,Bevis Round Conference Table Top  X-Base,3,430.29
209,Saturday 16th of June 2001,Tennsco Stur-D-Stor Boltless Shelving  5 Shelves  24 Deep  Sand,5,676.55
209,Saturday 16th of June 2001,Economy Binders,6,2.52
209,Saturday 16th of June 2001,Jabra BIZ 2300 Duo QD Duo Corded Headset,3,304.77
210,Saturday 29th of May 2004,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,4,25.48
210,Saturday 29th of May 2004,GE General Purpose  Extra Long Life  Showcase & Floodlight Incandescent Bulbs,2,5.82
210,Saturday 29th of May 2004,Prang Colored Pencils,9,26.46
210,Saturday 29th of May 2004,Bretford CR4500 Series Slim Rectangular Table,9,1723.68
211,Saturday 14th of August 2004,Bevis Round Bullnose 29 High Table Top,7,1454.39
211,Saturday 14th of August 2004,Snap-A-Way Black Print Carbonless Ruled Speed Letter  Triplicate,3,113.82
212,Friday 10th of September 2004,Tenex File Box  Personal Filing Tote with Lid  Black,3,37.23
212,Friday 10th of September 2004,Home/Office Personal File Carts,4,139.04
212,Friday 10th of September 2004,BIC Brite Liner Highlighters,7,23.17
212,Friday 10th of September 2004,Xerox 195,3,20.04
213,Friday 12th of November 2004,Bush Advantage Collection Round Conference Table,6,701.58
213,Friday 12th of November 2004,Newell 311,5,11.05
213,Friday 12th of November 2004,GBC Twin Loop Wire Binding Elements  9/16 Spine  Black,6,18.24
214,Saturday 8th of January 2000,Storex DuraTech Recycled Plastic Frosted Binders,9,7.65
214,Saturday 8th of January 2000,Cardinal Hold-It CD Pocket,6,9.6
214,Saturday 8th of January 2000,Padded Folding Chairs  Black  4/Carton,10,566.9
214,Saturday 8th of January 2000,Seth Thomas 14 Putty-Colored Wall Clock,9,211.23
215,Tuesday 8th of January 2002,Avery Personal Creations Heavyweight Cards,5,46.15
215,Tuesday 8th of January 2002,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,5,2202.45
216,Monday 4th of August 2003,Avery 489,1,8.28
217,Tuesday 11th of December 2001,Newell 350,9,29.52
217,Tuesday 11th of December 2001,GE 30524EE4,1,156.79
218,Sunday 9th of June 2002,Cisco SPA525G2 IP Phone - Wireless,7,111.72
218,Sunday 9th of June 2002,Logitech Mobile Speakerphone P710e - speaker phone,9,971.82
218,Sunday 9th of June 2002,Avaya 5420 Digital phone,3,404.97
219,Friday 3rd of May 2002,Post-it  Important Message  Note Pad  Neon Colors  50 Sheets/Pad,4,23.28
219,Friday 3rd of May 2002,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,3,70.95
219,Friday 3rd of May 2002,Colored Envelopes,10,36.9
219,Friday 3rd of May 2002,Wilson Jones Century Plastic Molded Ring Binders,9,37.35
220,Tuesday 31st of July 2001,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,6,436.68
221,Tuesday 21st of October 2003,File Shuttle I and Handi-File,3,53.43
221,Tuesday 21st of October 2003,Tennsco Lockers  Gray,1,20.98
221,Tuesday 21st of October 2003,Logitech Wireless Headset h800,3,299.97
221,Tuesday 21st of October 2003,Square Credit Card Reader  4 1/2 x 4 1/2 x 1  White,9,53.91
222,Friday 13th of August 2004,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,5,149.95
222,Friday 13th of August 2004,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,3,197.97
223,Saturday 21st of April 2001,Home/Office Personal File Carts,9,312.84
224,Thursday 6th of March 2003,Redi-Strip #10 Envelopes  4 1/8 x 9 1/2,1,2.36
224,Thursday 6th of March 2003,Luxo Economy Swing Arm Lamp,9,179.46
224,Thursday 6th of March 2003,Binney & Smith inkTank Erasable Desk Highlighter  Chisel Tip  Yellow  12/Box,9,18.18
225,Saturday 29th of January 2000,Logitech Gaming G510s - Keyboard,10,679.9
225,Saturday 29th of January 2000,Floodlight Indoor Halogen Bulbs  1 Bulb per Pack  60 Watts,8,155.2
225,Saturday 29th of January 2000,Logitech Wireless Gaming Headset G930,5,639.95
225,Saturday 29th of January 2000,Sony 32GB Class 10 Micro SDHC R40 Memory Card,3,62.85
226,Monday 12th of June 2000,9-3/4 Diameter Round Wall Clock,6,82.74
226,Monday 12th of June 2000,Wirebound Message Book  4 per Page,6,32.58
226,Monday 12th of June 2000,Nortel Meridian M3904 Professional Digital phone,3,369.57
226,Monday 12th of June 2000,GBC VeloBinder Manual Binding System,9,323.91
226,Monday 12th of June 2000,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,4,15.12
227,Friday 28th of September 2001,Staple-based wall hangings,4,15.6
227,Friday 28th of September 2001,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,7,21.21
227,Friday 28th of September 2001,Cisco SPA 501G IP Phone,6,426.96
227,Friday 28th of September 2001,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,8,159.92
228,Friday 27th of October 2000,Newell 314,4,17.84
229,Monday 29th of December 2003,Avery 511,2,6.16
230,Monday 9th of July 2001,4009 Highlighters by Sanford,5,19.9
230,Monday 9th of July 2001,3M Hangers With Command Adhesive,3,8.88
231,Wednesday 28th of July 2004,Bretford CR4500 Series Slim Rectangular Table,2,383.04
231,Wednesday 28th of July 2004,Prang Dustless Chalk Sticks,9,15.12
231,Wednesday 28th of July 2004,Poly Designer Cover & Back,2,11.4
231,Wednesday 28th of July 2004,Xerox 1999,9,58.32
231,Wednesday 28th of July 2004,Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36 x 48,9,436.68
232,Monday 4th of October 2004,AT&T 1070 Corded Phone,5,445.95
232,Monday 4th of October 2004,Trav-L-File Heavy-Duty Shuttle II  Black,9,313.74
233,Thursday 20th of May 2004,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,8,382.48
234,Wednesday 15th of September 2004,4009 Highlighters by Sanford,7,27.86
235,Sunday 24th of February 2002,Avery Hidden Tab Dividers for Binding Systems,6,3.6
235,Sunday 24th of February 2002,Global Fabric Managers Chair  Dark Gray,5,353.45
236,Wednesday 25th of February 2004,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,10,63.7
236,Wednesday 25th of February 2004,Logitech Media Keyboard K200,5,139.95
236,Wednesday 25th of February 2004,Binney & Smith inkTank Erasable Desk Highlighter  Chisel Tip  Yellow  12/Box,9,18.18
236,Wednesday 25th of February 2004,Wilson Jones Century Plastic Molded Ring Binders,6,24.9
237,Monday 14th of June 2004,DXL Angle-View Binders with Locking Rings by Samsill,1,6.17
